Name,Automotive Services Competency,Cloud Operations Services Competency,Cloud Operations Software Competency,Containers ISV Competency,Conversational AI Services Competency,Conversational AI Software Competency,Data & Analytics Consulting Competency,Data & Analytics ISV Competency,DevOps Consulting Competency,DevOps ISV Competency,Digital Customer Experience Services Competency,Digital Workplace Consulting Competency,Education Consulting Competency,Energy Consulting Competency,Financial Services Consulting Competency,Financial Services Technology Competency,Government Consulting Competency,Government ISV Competency,Healthcare Consulting Competency,Healthcare ISV Competency,IoT Consulting Competency,Level 1 MSSP Consulting Competency,Level 1 MSSP ISV Competency,Life Sciences Consulting Competency,Machine Learning Consulting Competency,Machine Learning ISV Competency,Mainframe Modernization Consulting Competency,Mainframe Modernization ISV Competency,Manufacturing and Industrial Services Competency,Microsoft Workloads Consulting Competency,Migration Consulting Competency,Migration and Modernization ISV Competency,Networking Consulting Competency,Networking ISV Competency,Nonprofit Consulting Competency,Oracle Consulting Competency,Public Safety Services Competency,Retail Consulting Competency,Retail ISV Competency,SAP Consulting Competency,SaaS Consulting Competency,Security Consulting Competency,Security ISV Competency,Smart City Consulting Competency,Storage Consulting Competency,Supply Chain Services Competency,Telecom Services Competency,Travel and Hospitality Consulting Competency,
Acantho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accenture,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,
adesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Agile Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aitek SPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Akkodis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Almaviva S.p.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Altea Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARHS Spikeseed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ariadne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
