Name,Archiving,Big Data, Analytics, Batch Processing,Big Data, Analytics, Batch Processing & Business Intelligence (BI),Business Applications - Microsoft,Business Applications - Oracle,Business Applications - Other,Business Applications - SAP,Content Delivery,Database & Data Warehouse,Dev & Test,Digital Marketing,Disaster Recovery,High Availability,High Performance Computing (HPC),Internet of Things (IoT),Mobile,Other,Security & Compliance,Storage (Backup, Recovery & Asset Storage),Value (Cost Savings/TCO),Web & Web Apps,
Acantho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accenture,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
adesso,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,
Agile Lab,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,
Aitek SPA,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,
Akkodis,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,
Almaviva S.p.A.,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,
Altea Federation,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,
ARHS Spikeseed,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,
Ariadne,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,
Arrow,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,
Assist Digital SPA,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,
ATOS International SAS,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,
Aubay Italia SpA,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,
avvale SpA,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,
Balance SpA,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,
Be Next,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,
beSharp,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
Beta 80,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,
Bottega52,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,
Capgemini,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
China Mobile International Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
Claranet Group,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,
Computer Gross SPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Converge Srl,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,
Corley srl,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,
CriticalCase S.r.l.,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,
CTMobi srl,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,
Deloitte,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,
