Name,AWS Certified Advanced Networking - Specialty,AWS Certified Alexa Skill Builder - Specialty,AWS Certified Big Data - Specialty,AWS Certified Cloud Practitioner,AWS Certified Data Analytics - Specialty,AWS Certified Database - Specialty,AWS Certified DevOps Engineer - Professional,AWS Certified Developer - Associate,AWS Certified Machine Learning - Specialty,AWS Certified Security - Specialty,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified SysOps Administrator - Associate,AWS Certified: SAP on AWS - Specialty,
Acantho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accenture,1,1,1,1,0,0,1,1,1,1,1,1,1,0,
adesso,0,0,0,1,0,0,0,1,0,0,1,0,1,0,
Agile Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aitek SPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Akkodis,1,0,1,1,0,1,1,1,1,1,1,1,1,1,
Almaviva S.p.A.,1,0,1,1,1,0,1,1,1,1,1,1,1,0,
Altea Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARHS Spikeseed,0,0,0,1,0,0,1,1,0,1,1,1,1,0,
Ariadne,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Arrow,0,0,0,1,0,0,1,1,0,0,1,1,1,0,
Assist Digital SPA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
ATOS International SAS,1,0,1,1,0,0,1,1,0,1,1,1,1,0,
Aubay Italia SpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
avvale SpA,0,0,0,1,0,0,0,1,0,0,1,1,1,0,
Balance SpA,0,0,0,1,0,0,0,1,0,0,1,0,1,0,
Be Next,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beSharp,1,0,0,1,1,1,1,1,1,1,1,1,1,0,
Beta 80,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
Bottega52,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Capgemini,1,0,1,1,0,0,1,1,0,1,1,1,1,0,
China Mobile International Limited,1,0,0,1,0,0,0,0,1,1,1,1,0,0,
Claranet Group,0,0,0,1,0,0,1,1,1,1,1,1,1,0,
Computer Gross SPA,0,0,0,1,0,0,0,0,0,0,1,1,0,0,
Converge Srl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corley srl,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
CriticalCase S.r.l.,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
CTMobi srl,0,0,0,1,0,0,0,1,1,1,1,0,1,0,
Deloitte,1,1,1,1,0,0,1,1,1,1,1,1,1,0,
Devoteam A Cloud,1,0,1,1,0,0,1,1,1,1,1,1,1,0,
DUNE - Tech Companies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DXC Technology,0,0,1,1,0,0,1,1,0,1,1,1,1,0,
