name,launches,professional_services,solutions,competencies,certifications,qualifications,programs,use_cases,international,references
Acantho,3,0,0,0,10,0,3,0,,0
Accenture,3055,8,54,26,35194,11,9,20,1,105
adesso,32,5,0,0,149,4,2,16,1,7
Agile Lab,13,5,0,0,13,0,1,8,,3
Aitek SPA,5,7,0,0,5,0,2,16,,3
Akkodis,51,7,5,2,340,12,3,15,1,35
Almaviva S.p.A.,56,8,3,2,180,11,4,15,,2
Altea Federation,2,6,0,0,8,0,2,16,,1
ARHS Spikeseed,64,5,3,3,137,7,6,11,1,21
Ariadne,1,4,0,0,4,1,1,3,,1
Arrow,15,4,0,0,86,6,5,11,1,5
Assist Digital SPA,3,4,0,0,13,1,1,8,1,1
ATOS International SAS,128,6,3,2,2208,9,9,17,1,9
Aubay Italia SpA,14,5,0,0,5,0,2,8,,1
avvale SpA,36,7,2,2,61,5,4,10,1,15
Balance SpA,5,6,1,0,16,4,0,7,1,0
Be Next,6,6,1,0,5,0,1,13,,0
beSharp,81,6,12,7,122,11,5,15,,25
Beta 80,19,5,0,0,36,2,2,7,,0
Bottega52,3,6,0,0,6,2,1,14,,0
Capgemini,846,8,28,10,13832,9,8,12,1,43
China Mobile International Limited,57,2,2,1,94,6,3,2,1,13
Claranet Group,232,6,10,6,445,8,8,16,1,58
Computer Gross SPA,16,6,0,0,11,3,2,0,,0
Converge Srl,9,3,0,0,5,0,1,6,,0
Corley srl,94,5,2,0,33,2,2,14,,13
CriticalCase S.r.l.,50,3,3,0,15,3,1,9,1,4
CTMobi srl,49,8,1,0,12,6,0,15,,12
Deloitte,1204,7,53,24,17775,11,6,12,1,58
Devoteam A Cloud,182,4,9,5,901,10,4,7,1,38
DUNE - Tech Companies,6,2,1,0,9,0,1,4,,3
DXC Technology,288,10,40,9,5610,8,8,20,1,41
Dynatrace,520,2,3,6,57,3,3,7,1,17
Eleva,19,5,1,0,14,2,1,8,,1
Elmec Informatica SpA,25,5,1,0,43,8,2,17,1,6
Engineering Ingegneria Informatica S.p.A.,34,4,3,1,257,11,5,16,1,7
"EPAM Systems, Inc.",721,8,10,6,5215,9,5,19,1,34
Epsilon srl,32,5,0,0,29,8,2,10,,5
Eudata srl,23,0,1,0,24,0,2,0,,5
Exprivia SpA,20,3,0,0,34,6,4,6,,8
Fastweb,115,5,8,1,152,8,4,12,,18
Fides,22,0,1,0,5,0,1,0,,0
FLOWING SRL,13,6,2,0,8,1,2,10,,6
Fujitsu,51,6,2,2,155,9,5,11,1,30
GFT,143,4,9,4,686,11,1,12,1,24
HCLTech,216,8,36,9,5866,12,8,10,1,34
Horsa,28,5,1,1,17,3,3,9,,11
Iconsulting Spa,16,6,1,0,20,1,0,9,1,7
Imperva,108,0,2,1,9,4,2,5,1,7
Indra Sistemas,58,6,4,1,209,5,4,13,1,14
ITALWARE SrL,8,5,0,0,5,0,2,10,,0
Itauros s.r.l.,6,0,0,0,3,0,1,0,,0
ITNET SRL,3,6,1,0,10,0,0,18,,1
Kiratech S.p.A.,2,2,0,0,8,0,1,6,1,1
Knowmad mood,40,6,0,0,37,3,5,10,1,10
Kyndryl,254,5,15,5,10558,13,5,0,1,23
Leanbit srl,1,2,0,0,8,0,0,4,,1
Lumen,28,4,5,2,216,8,5,15,1,15
Lutech SpA,46,7,1,4,72,3,4,17,,18
Merkle,22,5,3,2,184,4,1,8,1,16
"Mikamai, A Neosperience Company",21,7,0,0,12,1,1,10,,8
Miriade Srl,19,5,13,1,34,9,5,9,,7
"mLogica, LLC",24,7,2,1,25,3,3,6,1,16
MOLO17,1,0,0,0,7,0,1,0,1,0
msg,62,3,2,1,185,7,3,15,1,11
Neboola,11,3,0,0,7,2,1,7,,4
NPO Torino Srl,22,5,1,0,23,6,4,11,1,9
NTT DATA EMEAL,140,9,10,3,1083,3,6,9,1,30
NTT Ltd,155,6,9,3,1045,7,7,11,1,56
OMNYS,42,5,4,1,27,2,1,10,,16
Orange Business,141,8,2,2,483,3,6,20,1,25
Pandigital Srl,5,5,1,0,5,4,0,16,,1
Pega,111,2,1,3,49,4,3,7,1,11
Protiviti,43,8,2,2,113,5,2,3,1,15
Publicis Sapient,74,7,3,3,803,10,4,18,1,25
Quantyca,22,5,2,0,23,0,2,6,,6
Recube,13,0,0,0,19,0,2,0,,0
Red Hat,378,4,3,1,660,1,3,0,1,31
Reply,509,9,39,14,945,9,7,10,1,65
S2E | Solutions to Enterprises,21,3,0,0,54,0,1,5,,3
SCAI S.p.A.,6,4,0,0,25,1,2,13,,0
Setek S.r.l,7,5,0,0,4,0,2,4,,0
Sirti S.p.A.,3,4,0,0,9,0,1,13,,0
SoftwareOne,573,6,9,9,1070,12,9,18,1,57
Soluzioni Futura,46,4,0,0,31,0,1,5,,8
Sopra Steria,60,6,7,2,511,7,6,17,1,17
SORINT.lab S.p.A.,24,6,1,0,57,6,3,6,,6
Spindox SPA,8,7,1,0,18,0,0,14,1,3
T.A.I. Software Solution Srl,19,1,0,0,26,0,1,2,1,2
"Talend, Inc.",451,3,5,3,46,1,2,4,1,18
TD SYNNEX Corporation,533,7,8,4,459,6,8,13,1,19
Teleperformance,10,3,1,0,35,4,1,20,1,3
Teradata,155,5,2,1,286,0,3,6,1,4
Thoughtworks,222,7,11,6,667,4,2,10,1,32
TIM,12,5,0,0,15,3,4,16,1,2
Trend Micro Incorporated,2826,5,5,7,652,7,4,2,1,44
VAR Group S.p.A.,109,8,8,3,48,2,4,18,,17
VMengine-ITDM,33,6,4,1,50,3,3,19,1,14
VTEX,811,2,2,1,1,0,2,4,1,25
Web Site srl,6,4,0,0,8,2,2,8,,1
